symbol,avg_sentiment,news_count
CENTRALBK,0.1456,10
CARRARO,0.1064,10
CAMPUS,0.5489,10
INDTERRAIN,0.1743,3
GALAXYSURF,-0.1009,6
INFOBEAN,0.2877,6
INDUSINDBK,0.2517,10
INDUSTOWER,0.2173,10
GANDHITUBE,0.5287,3
GANDHAR,0.036,10
CHOLAFIN,0.1176,10
COASTCORP,0.1463,7
INNOVANA,0.0919,10
HEMIPROP,0.3519,8
AIRAN,0.3242,10
AARTISURF,0.1486,6
INOXINDIA,0.2263,10
GATECHDVR,0.0959,2
INTENTECH,0.0772,1
CREST,0.0303,10
CRAFTSMAN,0.1843,10
CSBBANK,0.3638,10
INVENTURE,0.5633,10
AKSHARCHEM,0.2142,7
IOLCP,0.2854,10
HINDCON,0.2152,10
HILTON,0.0617,10
HINDNATGLS,0.296,1
DCXINDIA,0.0806,10
GHCLTEXTIL,0.2344,4
DHAMPURSUG,0.1924,5
DELHIVERY,0.3824,10
IRCON,0.0684,10
IRISDOREME,0.2708,4
IRCTC,0.2305,10
DIFFNKG,0.1997,5
ISHANCH,0.2633,2
AKSHAR,-0.0839,10
ISGEC,0.1118,10
GKWLIMITED,0.5267,1
DIL,0.2442,10
ITC,0.1828,10
AIIL,0.0977,10
ITDCEM,0.1801,10
DONEAR,0.174,10
IVC,0.0564,10
IWEL,0.355,10
IZMO,0.3035,10
DSSL,0.4778,10
GMMPFAUDLR,0.2645,4
DREAMFOLKS,0.1972,10
JAGSNPHARM,0.0215,7
IXIGO,0.4194,10
E2E,0.2348,10
JAIBALAJI,0.2536,10
EIMCOELECO,-0.1027,1
JAYAGROGN,-0.3062,2
JAYBARMARU,0.2343,5
GNFC,0.019,10
JASH,0.2772,10
HPAL,0.144,10
AMJLAND,0.3306,10
AMRUTANJAN,0.2808,10
JBMA,0.3926,10
JCHAC,0.1873,10
ANANDRATHI,0.2488,10
EMAMIPAP,0.1369,3
JHS,0.2105,10
APTECHT,0.26,6
ARENTERP,0.0,1
JINDALPOLY,0.2783,10
GOENKA,0.0853,10
APLAPOLLO,0.3784,10
ARTEMISMED,0.2047,8
3MINDIA,0.247,10
JITFINFRA,0.089,4
ICICIPRULI,0.0694,10
ARMANFIN,0.3619,4
ARIES,0.129,10
JKIL,0.302,10
GOPAL,-0.0531,10
JKLAKSHMI,0.6151,10
EPIGRAL,0.2462,10
JMFINANCIL,0.1473,10
IFBIND,0.0354,7
JMA,-0.1418,10
JOCIL,0.1837,3
ASTRAZEN,0.1521,10
GREENPANEL,0.2305,10
JSFB,0.2199,10
ESSARSHPNG,0.0,0
AVL,0.3428,10
AURIONPRO,0.4352,10
JSWHL,0.2021,10
IITL,0.3273,10
JSWINFRA,0.292,10
JUBLCPL,0.0,0
AVALON,0.3912,10
BAJAJHFL,0.2794,10
AXISBANK,0.1864,10
JUBLPHARMA,0.4586,10
IMFA,0.0596,10
BASML,0.0683,2
JUSTDIAL,0.3225,10
BATAINDIA,0.0998,10
JYOTHYLAB,0.1416,10
BEDMUTHA,0.133,10
INCREDIBLE,0.1038,10
KAKATCEM,0.0,0
GUFICBIO,0.3634,2
ADSL,0.3782,10
INDIANHUME,0.3105,10
BHARATWIRE,0.2099,10
KALYANKJIL,-0.1288,10
KALAMANDIR,0.3627,10
INDIANB,-0.0099,10
KAMOPAINTS,0.0784,10
INDIGOPNTS,0.0468,6
BOROLTD,0.1964,7
KANSAINER,0.2915,10
BIGBLOC,0.4093,10
KAPSTON,0.2943,10
BPL,0.0555,10
HAL,0.3309,10
BSL,0.0808,10
INDIGO,0.1312,10
KAYA,0.1566,10
KCP,0.2528,10
CCCL,0.1961,10
FORTIS,0.1157,10
INDSWFTLAB,0.395,2
KDDL,0.2176,10
HCL-INSYS,0.273,10
KECL,0.044,10
KEEPLEARN,-0.1503,3
KEC,0.4636,10
GABRIEL,0.3812,10
KELLTONTEC,0.2484,8
CHEMFAB,0.1758,10
KEI,0.1437,10
INFIBEAM,0.2446,10
INGERRAND,0.0954,4
KHANDSE,0.0,0
HEADSUP,0.2858,10
COMPUSOFT,0.148,2
GANESHHOUC,0.0895,10
INSECTICID,0.216,10
CLEAN,0.283,10
HERANBA,0.1485,10
KIRIINDUS,0.2455,9
KINGFA,0.2584,10
KIRLOSENG,0.1957,10
GATECH,0.0495,10
KIRLPNU,0.4589,7
HEXT,0.0886,10
DALMIASUG,0.1652,10
A2ZINFRA,0.1034,9
HINDCOMPOS,0.4613,3
DABUR,0.3116,10
AGSTRA,0.166,10
KNRCON,0.2452,10
IPCALAB,0.2024,10
KMEW,0.0823,10
DCI,0.3477,10
KOTARISUG,0.296,1
KOTHARIPET,0.0,0
DEN,0.2371,10
KOTAKBANK,0.1897,10
DHARMAJ,0.1671,10
HINDUNILVR,0.1071,10
IRFC,0.2241,10
HISARMETAL,0.0987,3
KRIDHANINF,0.296,1
KRBL,0.2011,10
ALBERTDAVD,0.0772,1
GLAND,-0.0047,10
DPSCLTD,0.1195,5
KRITINUT,0.6249,1
KRITIKA,0.092,10
DOLLAR,0.1467,10
DOMS,0.056,10
KRONOX,0.2256,10
GLOSTERLTD,0.2348,6
ALIVUS,0.3628,10
KSB,0.1775,10
KRYSTAL,0.2833,10
KSHITIJPOL,0.1779,1
KTKBANK,0.3805,10
ALKALI,0.2129,10
JAICORPLTD,-0.0168,10
ALPHAGEO,0.3128,10
AMDIND,-0.4168,1
LAGNAM,0.293,10
AKUMS,0.2691,10
ABDL,0.2863,10
JAYSREETEA,0.0,0
LANCORHOL,0.2633,2
LAOPALA,0.3094,10
JGCHEM,-0.0205,8
APCOTEXIND,-0.1933,5
GODREJPROP,0.1547,10
GOKEX,-0.0196,10
ICDSLTD,0.0,0
ICEMAKE,0.3579,10
JINDRILL,0.1919,9
LCCINFOTEC,0.5267,1
LAURUSLABS,0.1859,10
LAXMIDENTL,0.0464,10
LFIC,0.0997,4
LGBBROSLTD,0.6229,2
LEXUS,0.3112,10
LGHL,-0.0346,8
JIOFIN,0.2977,10
ARKADE,0.5155,10
LIBAS,-0.0803,10
ASKAUTOLTD,0.0771,10
ASIANTILES,0.1466,6
JKTYRE,0.4903,10
ASHOKLEY,0.2753,10
LINC,0.4057,10
ESABINDIA,0.1915,10
JPOLYINVST,0.0,1
LINCOLN,0.1187,10
ADVENZYMES,0.2481,10
LMW,0.0873,10
ESCORTS,0.145,10
BAFNAPH,0.0,0
IIFLCAPS,0.2273,9
JSWENERGY,0.5516,10
JTEKTINDIA,0.2467,10
BAJAJHIND,0.0538,10
BALAMINES,0.1714,10
IKS,0.3388,10
BAJAJCON,0.4229,10
LT,0.3498,10
BAJAJ-AUTO,0.1586,10
FAZE3Q,-0.1567,5
LXCHEM,0.1783,10
BANDHANBNK,0.2414,10
BAYERCROP,0.2468,10
FCL,0.2631,10
LYPSAGEMS,0.1169,6
JYOTICNC,0.1857,10
INDIAGLYCO,0.2955,8
MACPOWER,0.1641,10
BHARTIHEXA,0.2051,10
M&MFIN,0.2578,10
MADHUCON,-0.188,10
FILATEX,0.2797,10
KANORICHEM,0.296,1
INDOAMIN,0.1805,4
FIVESTAR,0.3975,10
MAGNUM,0.2283,10
MAHABANK,0.1782,10
FMGOETZE,0.1858,3
BSOFT,0.0254,10
MAHLOG,0.1845,10
MAHESHWARI,0.0918,10
INDOFARM,0.2182,10
BRIGADE,0.2442,10
MAHSEAMLES,0.1814,10
CAPITALSFB,0.0443,10
MALLCOM,0.3543,10
MANAKALUCO,-0.1806,2
KCPSUGIND,0.0,0
AIROLAM,-0.3818,1
CHENNPETRO,0.2497,10
HCLTECH,0.1747,10
MAMATA,0.3086,10
CINEVISTA,0.0469,10
KHAICHEM,0.0554,6
MANCREDIT,0.4303,10
KHAITANLTD,0.3253,10
CONSOFINVT,0.0,1
AGRITECH,0.3705,10
MANGLMCEM,0.296,2
MANINDS,0.1453,10
COFORGE,0.2166,10
COROMANDEL,0.0933,10
MANOMAY,0.3311,10
MANORAMA,0.2167,10
MANKIND,0.274,10
MANORG,0.0933,10
ABBOTINDIA,0.2431,10
INTELLECT,0.4853,10
MAPMYINDIA,0.3758,10
DCMFINSERV,0.5267,1
CYIENT,0.0382,10
KOPRAN,0.0928,10
MARINE,0.1969,10
GEOJITFSL,0.1808,8
DCMSHRIRAM,0.4565,10
DCBBANK,0.298,10
GESHIP,0.5287,10
KOTHARIPRO,0.4912,8
DENTA,0.3349,10
MAWANASUG,0.1062,3
ISFT,0.3987,3
MAXESTATES,0.4856,10
MAXHEALTH,0.0485,10
KPITTECH,0.3122,10
DHRUV,0.2135,10
HINDZINC,0.2425,10
GLENMARK,0.2403,10
HITECHGEAR,0.261,5
MCL,-0.1521,10
DTIL,0.0811,10
ITI,0.2814,10
MCLOUD,0.1389,10
HMT,0.2069,10
MEDICAMEQ,0.0,1
MCX,0.1129,10
KSCL,0.3495,10
EIEL,0.3476,10
KSL,-0.1412,10
MEDICO,-0.0944,10
AMBUJACEM,0.0582,10
5PAISA,0.4471,10
GODREJAGRO,0.0343,10
MFML,0.0,0
ABCAPITAL,0.1477,10
METROPOLIS,0.1682,10
MFSL,0.1924,10
LATENTVIEW,0.3266,10
GOLDIAM,0.1627,10
MHRIL,0.4902,10
ARSHIYA,-0.0155,10
EMKAY,0.2792,10
ENERGYDEV,0.2668,9
MIDHANI,0.3041,10
ASAHIINDIA,0.1278,10
MITCON,0.2787,10
ADFFOODS,0.2228,10
IDBI,0.2497,10
MKPL,0.0367,9
MMFL,0.462,10
LINDEINDIA,0.1692,10
MMP,0.1222,10
MITTAL,0.1681,10
GRAVITA,0.4698,10
MODISONLTD,0.4071,4
AUTOAXLES,0.0624,2
IGIL,0.206,10
IGPL,0.1155,10
MOKSH,0.1862,10
LORDSCHLO,0.34,1
MOIL,0.2057,10
LOTUSEYE,0.1336,6
ESTER,0.1182,10
MOL,0.2009,10
IKIO,0.1113,10
JUBLFOOD,0.697,10
LTFOODS,0.1909,10
IMPAL,0.1025,10
MOTOGENFIN,0.0,0
MOTHERSON,0.2805,10
BANSALWIRE,0.1611,10
GTL,0.2548,10
MPSLTD,0.1658,10
MSPL,0.1586,10
MSTCLTD,0.3084,10
KABRAEXTRU,0.3554,2
MRPL,0.1212,10
BHAGERIA,0.2695,10
MTEDUCARE,-0.0123,10
MSUMI,0.0872,10
KAMATHOTEL,0.2112,8
ADANIGREEN,0.2356,10
BLUECOAST,0.36,8
MUNJALAU,0.2365,3
MUKTAARTS,0.3675,10
HAPPSTMNDS,0.5682,10
AGARWALEYE,0.2638,10
AEROFLEX,0.4017,10
INDOSTAR,0.2238,10
MUTHOOTMF,-0.0158,4
MVGJL,0.0987,6
KARURVYSYA,0.1535,10
CANTABIL,0.3217,10
NAGAFERT,0.1019,2
NAGREEKCAP,0.296,1
FOODSIN,-0.1092,10
INDOUS,0.1008,10
NAHARINDUS,0.2863,3
CARTRADE,0.2188,10
CEIGALL,0.3179,10
CEWATER,0.0552,10
NATCOPHARM,0.1466,10
NARMADA,0.1435,10
NATHBIOGEN,0.0,0
KERNEX,0.2371,10
NAM-INDIA,0.4656,10
KHADIM,0.1565,10
NAVINFLUOR,0.1937,10
MANGCHEFER,0.2833,7
NAVKARCORP,0.0522,10
NAUKRI,0.1629,10
INOXGREEN,0.455,10
HERITGFOOD,0.0846,10
COALINDIA,0.2024,10
CREDITACC,0.15,10
KIRLOSBROS,0.2855,5
NBCC,0.3241,10
CPCAP,0.0961,10
GENCON,0.0146,10
NDL,0.1723,10
NDRAUTO,0.3099,10
MARALOVER,0.0,0
NECLIFE,-0.0219,5
DATAPATTNS,0.3429,10
IOC,0.2034,10
NELCAST,0.0635,10
NDTV,0.3782,10
NELCO,0.1643,10
MARICO,0.2516,10
NESTLEIND,0.0336,10
NEULANDLAB,0.1654,10
HINDMOTORS,0.0927,10
NETWEB,0.361,10
GFLLIMITED,0.0,1
NETWORK18,0.2222,10
DEVIT,0.2007,10
HINDPETRO,0.2214,10
NFL,0.3002,10
DIAMONDYD,0.1631,9
KPIL,0.3976,10
HIRECT,0.1127,10
NIBL,0.1066,10
DISHTV,-0.0995,10
ITDC,0.3206,10
KRISHANA,0.1274,10
DMART,0.1258,10
NINSYS,0.0,0
NILKAMAL,0.2802,10
DOLPHIN,0.2013,10
GMDCLTD,0.2615,10
MEDANTA,0.181,10
NITINSPIN,0.2657,5
HNDFDS,0.0317,6
NIRAJ,0.0593,10
JAGRAN,0.1403,10
NKIND,0.3207,10
ELECTHERM,-0.4898,1
NIVABUPA,0.2434,10
NOCIL,0.2236,10
MENONBE,0.0,2
360ONE,0.2605,10
NMDC,0.2944,10
JBCHEPHARM,0.0098,10
LAMBODHARA,0.2359,10
NRBBEARING,0.2214,9
HUBTOWN,0.075,10
LASA,0.1872,10
HUHTAMAKI,0.1919,10
GOKULAGRO,0.3641,10
ARIHANTCAP,0.1973,3
NRL,0.2512,10
JINDALSAW,0.2803,10
NURECA,0.2563,10
MGL,0.1322,10
ARSSINFRA,0.1887,7
OAL,0.0782,10
OBCL,0.1061,3
NUVAMA,0.4011,10
GPIL,0.0872,10
NYKAA,0.1278,10
ODIGMA,0.2576,10
LICHSGFIN,0.0947,10
JKPAPER,0.5734,10
ICRA,0.2621,10
IFBAGRO,0.1405,10
EQUITASBNK,0.0948,9
IFGLEXPOR,0.0926,5
EPL,0.2753,10
LLOYDSENT,0.2255,4
OMINFRAL,0.0758,6
ONELIFECAP,0.0624,2
AURUM,0.0854,10
IFCI,0.2664,10
AVTNPL,0.2652,8
LOKESHMACH,-0.0767,5
IGL,0.2664,10
ONGC,0.2876,10
JTLIND,0.1055,10
ORCHASP,-0.2791,10
LPDC,0.1123,9
BAJAJFINSV,-0.0141,10
ORICONENT,0.2633,2
BALPHARMA,0.0399,10
LUMAXTECH,0.3417,9
ORIENTBELL,0.105,10
ORIENTCER,0.4412,2
ORIENTELEC,0.0232,3
BCLIND,0.311,10
ORIENTHOT,0.0076,3
JWL,0.2676,10
INDBANK,0.3541,10
ORISSAMINE,0.0,1
ORTINGLOBE,0.0,0
BHAGCHEM,0.0069,5
BDL,0.3481,10
GUJRAFFIA,0.1422,2
OSWALAGRO,0.37,10
FINCABLES,0.2204,10
MAGADSUGAR,0.3919,2
PAGEIND,0.1357,10
BLISSGVS,0.6637,10
PALASHSECU,0.0,0
PALREDTEC,0.0827,2
PAISALO,0.209,10
MTNL,0.485,10
BLS,0.3113,10
PARACABLES,0.1767,10
MAHEPC,-0.014,5
BRNL,0.2299,10
PAR,0.117,10
KAVVERITEL,0.0526,2
PARASPETRO,0.0,0
FOSECOIND,0.4015,3
PARKHOTELS,0.1423,10
NAHARCAP,0.0,0
BSHSL,0.802,1
NAHARPOLY,-0.0271,7
CEREBRAINT,-0.0392,4
PATINTLOG,0.5267,1
CELLO,0.1778,10
PARSVNATH,0.2456,10
GALAPREC,0.2596,10
CIGNITITEC,0.3368,9
PDMJEPAPER,0.3678,4
MANALIPETC,0.4835,2
AFCONS,0.0903,10
GANECOS,0.1908,10
PENINLAND,0.0287,7
MANGALAM,0.119,10
PENIND,0.1991,10
MANAPPURAM,0.094,10
PEL,0.0426,10
PETRONET,0.0912,10
HEUBACHIND,0.064,2
PFS,0.0941,10
PGEL,0.2928,10
KIOCL,0.2125,10
PGHL,0.0173,10
NCLIND,0.3182,1
PIDILITIND,0.342,10
HGINFRA,0.257,10
KITEX,0.2674,10
IOB,0.0767,10
PILANIINVS,-0.0839,4
PIONEEREMB,0.296,1
MARSHALL,0.1109,10
NEOGEN,0.2801,10
NESCO,0.3318,10
DCW,0.2297,10
MARUTI,0.1882,10
NEXTMEDIA,0.1303,10
MASTEK,0.1453,10
DICIND,0.1521,10
MATRIMONY,0.3803,10
DIGIDRIVE,0.1944,7
KPRMILL,0.3288,10
AJMERA,0.1717,10
AKASH,0.3023,10
PODDARMENT,0.0,0
PNCINFRA,0.2733,10
POKARNA,0.0693,10
DOLATALGO,0.1909,6
NILASPACES,0.3541,10
POLICYBZR,0.1214,10
GLOBE,0.1742,10
DYCL,0.4274,10
POLYPLEX,0.1796,10
KRSNAA,0.0959,10
DYNPRO,-0.3818,1
POWERINDIA,0.5247,10
POONAWALLA,0.2762,10
EIHOTEL,0.2801,10
PRAENG,0.0,0
PPL,0.1498,10
JAYNECOIND,0.4884,2
NOIDATOLL,0.174,10
PRAKASHSTL,0.0,0
ANKITMETAL,-0.049,5
NOVAAGRI,0.2188,10
NRAIL,0.0,0
LAL,0.4372,10
PRECOT,0.0558,7
PRECWIRE,0.282,7
LAXMICOT,0.0,0
PREMIERPOL,0.2599,5
APCL,0.0229,7
ABREL,0.2479,10
ARTNIRMAN,-0.17,2
PREMIER,0.276,10
PRIMESECU,0.3881,6
PRITIKAUTO,0.0086,3
MICEL,-0.0523,10
PRESTIGE,0.2472,10
ASHAPURMIN,-0.136,7
MINDACORP,0.3373,10
PRSMJOHNSN,-0.1243,8
LIKHITHA,0.2738,10
PROTEAN,0.2617,10
EPACK,0.159,10
OLAELEC,0.28,10
PTCIL,0.2586,10
PUNJABCHEM,0.4176,6
GREENLAM,0.2253,10
MODIRUBBER,0.2042,10
ESAFSFB,0.3023,10
MOHITIND,-0.4879,2
PURVA,0.1716,10
MMTC,0.1942,10
EUREKAFORB,0.2216,7
ONEPOINT,0.2338,10
QUADFUTURE,0.2017,10
PYRAMID,-0.0598,10
EVEREADY,0.3071,10
MONTECARLO,0.1198,10
ORCHPHARMA,0.1852,8
RADHIKAJWE,0.4905,4
IMAGICAA,0.3205,10
LTF,0.2999,10
LTIM,0.1317,10
AFIL,0.279,10
BANKBARODA,0.0986,10
RADIOCITY,0.309,10
RAJESHEXPO,0.1153,10
RAILTEL,0.4549,10
RAJMET,0.0356,5
INDIACEM,0.1876,10
RAINBOW,0.1325,10
FEDERALBNK,0.3163,10
RAMANEWS,0.2205,4
