symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
POLICYBZR,2025-05-16,1756.2,61.12,12.53,1661.02,0.1214,10
PCBL,2025-05-16,395.0,54.68,2.6,384.44,0.0682,10
PGEL,2025-05-16,804.05,42.54,-5.29,864.67,0.2489,10
PIIND,2025-05-16,3769.7,64.16,-3.32,3661.64,-0.0369,10
PNBHOUSING,2025-05-16,1072.1,62.54,-1.15,1032.76,0.2996,10
PNCINFRA,2025-05-16,280.2,62.6,1.11,266.78,0.3026,10
PTCIL,2025-05-16,14269.0,61.69,133.06,13406.3,0.2586,10
PVRINOX,2025-05-16,1017.4,62.19,5.91,964.11,0.1699,10
PAGEIND,2025-05-16,47830.0,66.06,78.16,45778.5,0.1357,10
PATANJALI,2025-05-16,1785.0,40.93,-14.32,1878.36,0.263,10
PERSISTENT,2025-05-16,5699.0,61.23,41.89,5391.65,0.1549,10
PETRONET,2025-05-16,320.6,64.63,0.53,311.98,0.0912,10
PFIZER,2025-05-16,4413.2,65.96,13.04,4284.12,0.0854,10
PHOENIXLTD,2025-05-16,1550.9,47.71,-1.8,1580.63,0.3332,10
PIDILITIND,2025-05-16,3091.2,62.35,2.38,3037.85,0.396,10
PEL,2025-05-16,1104.75,66.63,8.91,1021.41,0.0426,10
PPLPHARMA,2025-05-16,204.87,42.16,-0.64,214.01,0.0676,10
POLYMED,2025-05-16,2419.2,48.73,-37.65,2524.19,0.1705,10
POLYCAB,2025-05-16,6094.5,70.35,31.66,5711.52,0.1985,10
POONAWALLA,2025-05-16,395.15,61.05,-1.29,385.97,0.2762,10
PFC,2025-05-16,417.75,54.28,-0.1,413.43,0.1475,10
POWERGRID,2025-05-16,300.2,49.64,-2.26,306.86,0.0449,10
PRAJIND,2025-05-16,492.35,50.19,3.17,488.18,0.1341,10
PREMIERENE,2025-05-16,1125.95,72.46,10.03,1002.63,0.5387,10
PRESTIGE,2025-05-16,1433.2,65.3,5.96,1335.51,0.2472,10
PNB,2025-05-16,98.91,54.65,-0.14,98.74,0.3416,10
RRKABEL,2025-05-16,1315.9,80.91,22.02,1121.03,0.4629,10
RBLBANK,2025-05-16,212.68,67.22,0.35,199.83,0.3088,10
RECLTD,2025-05-16,406.45,48.45,-2.42,416.87,0.078,10
RHIM,2025-05-16,464.45,56.12,1.17,453.72,0.1419,10
