symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
CLEAN,2025-05-16,1294.2,68.85,13.3,1208.59,0.3208,10
COALINDIA,2025-05-16,404.8,61.95,1.7,393.16,0.23,10
COCHINSHIP,2025-05-16,2035.6,79.72,43.06,1557.01,0.314,10
COFORGE,2025-05-16,8426.0,70.21,131.89,7585.29,0.2222,10
COLPAL,2025-05-16,2689.7,61.68,-0.55,2623.55,0.0207,10
CAMS,2025-05-16,3890.9,57.34,-10.84,3816.85,0.2827,10
CONCORDBIO,2025-05-16,1498.9,42.35,5.39,1547.74,0.0922,10
CONCOR,2025-05-16,730.5,62.87,3.39,689.1,0.0427,10
COROMANDEL,2025-05-16,2450.9,70.16,9.7,2285.51,0.1229,10
CRAFTSMAN,2025-05-16,5249.6,64.06,60.9,4872.98,0.1843,10
CREDITACC,2025-05-16,1204.7,63.37,2.1,1147.21,0.15,10
CROMPTON,2025-05-16,351.25,58.72,1.4,334.84,0.4,10
CUMMINSIND,2025-05-16,3035.6,60.4,15.0,2887.28,0.1436,10
CYIENT,2025-05-16,1304.3,62.74,16.3,1217.47,0.0786,10
DCMSHRIRAM,2025-05-16,1040.9,52.77,3.93,1029.93,0.394,10
DLF,2025-05-16,715.9,60.66,4.65,677.17,0.2442,10
DOMS,2025-05-16,2848.2,55.58,6.6,2811.32,0.0474,10
DABUR,2025-05-16,476.65,48.3,-0.06,478.71,0.3116,10
DALBHARAT,2025-05-16,2070.1,68.43,7.82,1964.12,0.1575,10
DATAPATTNS,2025-05-16,2868.2,78.12,37.64,2301.85,0.3429,10
DEEPAKFERT,2025-05-16,1345.1,65.65,0.99,1293.33,0.1265,10
DEEPAKNTR,2025-05-16,2110.9,61.94,13.31,1985.72,0.2883,10
DELHIVERY,2025-05-16,320.85,69.41,0.89,305.72,0.3851,10
DEVYANI,2025-05-16,186.89,66.66,-0.02,176.57,0.0888,10
DIVISLAB,2025-05-16,6279.5,62.89,12.59,6052.2,-0.0013,10
DIXON,2025-05-16,16660.0,61.87,-46.41,16215.05,0.111,10
LALPATHLAB,2025-05-16,2799.6,56.57,-9.22,2788.4,0.3258,10
DRREDDY,2025-05-16,1230.7,64.36,6.63,1184.99,0.2971,10
EIDPARRY,2025-05-16,960.8,78.65,9.82,860.37,0.3704,10
EIHOTEL,2025-05-16,375.2,54.7,-0.53,371.46,0.2801,10
EICHERMOT,2025-05-16,5509.5,53.52,-20.95,5548.45,0.1585,10
ELECON,2025-05-16,663.25,73.31,7.18,581.25,0.0812,10
ELGIEQUIP,2025-05-16,478.55,56.64,3.76,458.91,0.1589,10
EMAMILTD,2025-05-16,636.3,56.79,-2.07,630.4,0.2756,10
EMCURE,2025-05-16,1064.4,57.67,2.86,1045.0,0.1594,10
ENDURANCE,2025-05-16,2214.4,75.08,29.74,1995.92,0.2201,10
ENGINERSIN,2025-05-16,193.53,65.79,0.9,181.27,0.2255,10
ERIS,2025-05-16,1464.6,54.91,-4.77,1456.19,0.0888,10
ESCORTS,2025-05-16,3551.5,66.97,26.72,3342.52,0.1009,10
EXIDEIND,2025-05-16,393.05,62.42,1.95,373.75,0.0982,10
NYKAA,2025-05-16,201.8,69.64,-0.18,194.56,0.1278,10
FEDERALBNK,2025-05-16,199.03,57.11,0.3,195.94,0.3163,10
FACT,2025-05-16,881.6,75.23,8.65,787.94,0.2904,10
FINCABLES,2025-05-16,961.65,66.29,7.28,896.08,0.2204,10
FINPIPE,2025-05-16,191.57,62.83,2.02,178.52,0.1078,10
FSL,2025-05-16,368.75,61.98,4.16,345.33,0.1716,10
FIVESTAR,2025-05-16,679.2,41.03,-6.2,730.77,0.3975,10
FORTIS,2025-05-16,700.05,60.69,1.32,675.44,0.1057,10
GAIL,2025-05-16,186.28,52.96,-1.07,188.35,0.2873,10
GVT&D,2025-05-16,1771.1,100.0,0.0,1771.1,-0.0051,10
GMRAIRPORT,2025-05-16,91.07,65.38,-0.1,87.39,0.2054,10
GRSE,2025-05-16,2481.7,80.41,53.71,1878.36,0.3334,10
GICRE,2025-05-16,436.25,60.13,0.56,420.68,0.2232,10
GILLETTE,2025-05-16,8610.0,69.3,51.29,8066.68,0.3489,10
GLAND,2025-05-16,1469.4,54.45,10.07,1435.96,-0.0047,10
GLAXO,2025-05-16,2828.6,51.32,-7.85,2842.68,0.0653,10
GLENMARK,2025-05-16,1448.6,56.22,7.25,1402.07,0.2699,10
MEDANTA,2025-05-16,1201.1,46.53,1.19,1220.13,0.2607,10
GODIGIT,2025-05-16,299.55,55.43,0.87,295.34,0.4141,10
GPIL,2025-05-16,201.71,59.74,1.65,191.35,0.0872,10
GODFRYPHLP,2025-05-16,8718.5,62.03,-7.32,8326.95,0.2408,10
GODREJAGRO,2025-05-16,732.7,49.93,1.37,735.42,0.0343,10
GODREJCP,2025-05-16,1299.5,70.28,-1.11,1256.35,0.0299,10
GODREJIND,2025-05-16,1143.3,53.95,3.18,1121.63,0.0684,10
GODREJPROP,2025-05-16,2176.1,56.0,2.91,2113.61,0.1274,10
GRANULES,2025-05-16,505.6,63.72,6.96,467.61,0.2651,10
GRAPHITE,2025-05-16,486.4,57.7,2.2,467.98,0.1704,10
GRASIM,2025-05-16,2804.2,61.17,0.23,2735.6,0.3038,10
GRAVITA,2025-05-16,2030.2,62.99,7.77,1893.11,0.4698,10
GESHIP,2025-05-16,972.75,63.34,7.42,896.22,0.5287,10
FLUOROCHEM,2025-05-16,3912.7,53.19,-4.72,3906.56,0.0872,10
GUJGASLTD,2025-05-16,469.45,61.13,-0.19,458.55,-0.0931,10
GMDCLTD,2025-05-16,354.6,70.91,2.36,315.39,0.2615,10
GNFC,2025-05-16,510.45,57.73,2.58,494.91,-0.0083,10
GPPL,2025-05-16,144.96,59.63,0.86,139.73,0.0873,10
GSPL,2025-05-16,350.4,69.0,2.06,326.61,0.2794,10
HEG,2025-05-16,490.6,60.73,1.48,467.19,0.319,10
HBLENGINE,2025-05-16,568.75,66.82,8.3,510.73,0.3056,10
HCLTECH,2025-05-16,1659.9,61.71,13.53,1572.86,0.1081,10
HDFCAMC,2025-05-16,4737.3,67.74,17.69,4455.69,0.2508,10
HDFCBANK,2025-05-16,1934.7,57.79,-5.85,1925.72,0.236,10
HDFCLIFE,2025-05-16,750.55,66.97,0.61,725.03,0.159,10
HFCL,2025-05-16,88.43,60.83,1.17,82.03,0.4114,10
HAPPSTMNDS,2025-05-16,604.6,52.71,3.9,591.12,0.5125,10
HAVELLS,2025-05-16,1577.4,51.56,-3.78,1596.74,0.1959,10
HEROMOTOCO,2025-05-16,4345.3,74.41,48.8,3929.53,0.4667,10
HSCL,2025-05-16,461.9,57.55,1.2,449.19,0.2786,10
HINDALCO,2025-05-16,657.55,57.9,4.76,632.04,0.2982,10
HAL,2025-05-16,5127.7,76.9,38.6,4496.47,0.3564,10
HINDCOPPER,2025-05-16,226.0,55.87,1.86,218.03,0.1629,10
HINDPETRO,2025-05-16,410.05,64.82,-0.31,392.57,0.1282,10
HINDUNILVR,2025-05-16,2381.4,57.69,-1.85,2356.28,0.1071,10
HINDZINC,2025-05-16,442.3,54.17,1.11,436.25,0.2425,10
POWERINDIA,2025-05-16,15803.0,64.93,102.17,14637.75,0.5339,10
HOMEFIRST,2025-05-16,1166.8,52.39,-10.13,1201.96,0.086,10
HONASA,2025-05-16,261.7,70.26,1.0,245.36,0.0809,10
HONAUT,2025-05-16,38820.0,76.09,395.72,35101.75,0.3086,10
HUDCO,2025-05-16,233.86,61.32,-0.45,223.81,0.2185,10
HYUNDAI,2025-05-16,1855.6,70.78,14.95,1732.37,0.2256,10
ICICIBANK,2025-05-16,1454.0,63.86,-2.05,1425.58,0.2517,10
ICICIGI,2025-05-16,1849.6,53.72,-0.72,1842.72,0.1516,10
ICICIPRULI,2025-05-16,615.6,61.2,0.65,601.96,0.0694,10
IDBI,2025-05-16,86.0,62.92,0.5,81.75,0.2497,10
IDFCFIRSTB,2025-05-16,69.26,65.21,0.04,67.1,0.1514,10
IFCI,2025-05-16,51.77,71.72,0.77,43.65,0.1824,10
IIFL,2025-05-16,413.95,70.46,4.85,372.57,0.1087,10
INOXINDIA,2025-05-16,1160.55,76.6,15.83,1027.15,0.2263,10
IRB,2025-05-16,51.21,68.41,0.56,47.25,0.3511,10
IRCON,2025-05-16,188.88,72.59,3.1,161.13,0.091,10
ITC,2025-05-16,435.7,59.57,-0.4,430.06,0.1476,10
ITI,2025-05-16,279.5,62.4,2.25,263.02,0.2814,10
INDGN,2025-05-16,612.15,65.81,5.74,566.28,0.372,10
INDIACEM,2025-05-16,319.85,66.7,0.97,305.61,0.229,10
INDIAMART,2025-05-16,2350.2,60.68,1.21,2280.14,0.2208,10
INDIANB,2025-05-16,594.55,63.16,1.42,573.42,0.0303,10
IEX,2025-05-16,199.86,67.27,0.06,191.37,0.3104,10
INDHOTEL,2025-05-16,766.35,46.7,-2.76,786.99,0.369,10
IOC,2025-05-16,144.72,62.47,-0.08,140.52,0.2034,10
IOB,2025-05-16,37.86,50.47,0.34,37.38,0.0767,10
IRCTC,2025-05-16,809.05,66.7,3.97,762.62,0.2305,10
IRFC,2025-05-16,138.61,66.73,1.12,127.19,0.2241,10
IREDA,2025-05-16,173.29,58.37,0.23,168.29,0.3142,10
IGL,2025-05-16,209.2,63.31,1.51,194.9,0.2664,10
INDUSTOWER,2025-05-16,400.45,60.53,-1.11,395.75,0.2561,10
INDUSINDBK,2025-05-16,780.2,45.74,-6.05,813.35,0.3263,10
NAUKRI,2025-05-16,1509.5,64.11,11.77,1419.09,0.1629,10
INFY,2025-05-16,1589.9,58.48,18.08,1512.23,0.0835,10
INOXWIND,2025-05-16,179.82,59.63,1.06,170.25,0.3335,10
INTELLECT,2025-05-16,1074.55,83.73,25.28,839.98,0.4853,10
INDIGO,2025-05-16,5562.5,60.22,6.15,5398.12,0.0872,10
IGIL,2025-05-16,378.6,59.14,4.99,357.18,0.2262,10
IKS,2025-05-16,1670.4,69.23,27.67,1513.11,0.3388,10
IPCALAB,2025-05-16,1392.6,49.63,1.64,1401.59,0.2024,10
JBCHEPHARM,2025-05-16,1647.2,58.53,9.6,1591.13,0.0098,10
JKCEMENT,2025-05-16,5251.5,62.24,-0.92,5150.87,0.5536,10
JBMA,2025-05-16,726.05,62.56,2.12,682.24,0.3926,10
JKTYRE,2025-05-16,351.4,71.63,2.53,320.64,0.4618,10
JMFINANCIL,2025-05-16,115.18,72.24,1.34,104.37,0.1473,10
JSWENERGY,2025-05-16,503.85,56.09,3.15,484.19,0.512,10
JSWHL,2025-05-16,23930.0,51.78,-154.04,24441.25,0.2021,10
JSWINFRA,2025-05-16,288.25,45.8,-0.77,295.62,0.343,10
JSWSTEEL,2025-05-16,1021.8,54.04,3.75,1006.43,0.2009,10
JPPOWER,2025-05-16,15.11,58.29,0.05,14.65,0.3931,10
J&KBANK,2025-05-16,103.89,59.66,0.79,98.9,0.1427,10
JINDALSAW,2025-05-16,217.13,38.76,-2.22,239.94,0.2941,10
JSL,2025-05-16,663.1,71.58,10.42,592.46,0.1466,10
JINDALSTEL,2025-05-16,981.6,68.32,9.94,904.49,0.1265,10
JIOFIN,2025-05-16,277.0,70.05,1.23,258.22,0.3453,10
JUBLFOOD,2025-05-16,674.3,44.88,-4.49,698.77,0.6724,10
JUBLINGREA,2025-05-16,691.55,53.03,0.24,685.27,0.6135,10
JUBLPHARMA,2025-05-16,945.6,60.15,3.98,904.78,0.4586,10
JWL,2025-05-16,422.05,72.24,4.55,369.87,0.2676,10
