symbol,date,close,rsi,macd,sma20
SARDAEN,2025-05-16,454.75,47.28,1.79,459.38
SAREGAMA,2025-05-16,540.15,51.71,-1.05,545.74
SCHAEFFLER,2025-05-16,4085.3,80.77,57.32,3548.96
SCHNEIDER,2025-05-16,653.05,62.32,9.02,600.84
SCI,2025-05-16,188.77,63.71,0.53,174.9
SHREECEM,2025-05-16,31615.0,67.39,140.05,30258.5
RENUKA,2025-05-16,31.85,65.53,0.36,29.35
SHRIRAMFIN,2025-05-16,665.5,55.23,3.36,649.2
SHYAMMETL,2025-05-16,937.75,66.31,3.86,892.16
SIEMENS,2025-05-16,3069.5,40.96,94.27,2910.86
SIGNATURE,2025-05-16,1236.1,68.04,6.27,1156.97
SOBHA,2025-05-16,1372.5,63.36,6.41,1287.2
SOLARINDS,2025-05-16,14025.0,73.76,-16.73,13211.75
SONACOMS,2025-05-16,542.85,65.85,5.92,492.92
SONATSOFTW,2025-05-16,397.8,56.2,1.54,375.91
STARHEALTH,2025-05-16,450.9,76.63,6.2,389.7
SBIN,2025-05-16,792.1,58.86,-0.09,783.55
SAIL,2025-05-16,122.48,61.63,0.94,115.74
SWSOLAR,2025-05-16,297.95,59.48,1.17,285.78
SUMICHEM,2025-05-16,538.45,55.85,1.26,523.83
SUNPHARMA,2025-05-16,1734.9,47.78,-10.97,1772.32
SUNTV,2025-05-16,629.2,51.25,-0.42,630.35
SUNDARMFIN,2025-05-16,5094.5,52.35,-28.82,5175.34
SUNDRMFAST,2025-05-16,981.5,65.15,6.62,936.32
SUPREMEIND,2025-05-16,3681.9,63.01,18.51,3528.6
SUVENPHAR,2025-05-16,1079.2,43.57,-6.48,1128.02
SUZLON,2025-05-16,61.08,62.41,0.52,57.45
SWANENERGY,2025-05-16,455.55,60.96,4.97,422.57
SWIGGY,2025-05-16,321.2,47.22,-0.33,326.06
SYNGENE,2025-05-16,645.4,46.29,2.52,649.96
SYRMA,2025-05-16,529.65,59.25,4.53,500.16
TBOTEK,2025-05-16,1237.6,61.41,22.94,1115.84
TVSMOTOR,2025-05-16,2841.5,63.41,-4.77,2744.95
TANLA,2025-05-16,571.55,70.03,10.11,497.13
TATACHEM,2025-05-16,859.5,56.53,2.18,840.97
TATACOMM,2025-05-16,1632.3,60.77,5.2,1574.8
TCS,2025-05-16,3561.3,58.21,22.16,3453.6
TATACONSUM,2025-05-16,1168.0,63.71,-5.06,1144.09
TATAELXSI,2025-05-16,6212.0,67.49,51.59,5763.0
TATAINVEST,2025-05-16,6209.0,57.12,23.18,6082.9
TATAMOTORS,2025-05-16,730.7,65.78,7.69,673.03
TATAPOWER,2025-05-16,405.8,63.82,1.38,387.86
TATASTEEL,2025-05-16,157.55,67.67,1.99,144.57
TATATECH,2025-05-16,750.9,67.48,8.31,686.11
TTML,2025-05-16,60.62,57.75,0.46,58.18
TECHM,2025-05-16,1617.0,73.97,17.9,1491.74
TECHNOE,2025-05-16,1280.1,74.77,16.0,1114.01
TEJASNET,2025-05-16,740.6,48.48,-1.43,756.73
NIACL,2025-05-16,179.03,64.75,0.44,170.8
RAMCOCEM,2025-05-16,1004.15,70.09,2.31,966.64
THERMAX,2025-05-16,3426.6,55.39,16.19,3353.25
