symbol,date,close,rsi,macd,sma20
ITI,2025-05-16,279.5,62.4,2.25,263.02
INDGN,2025-05-16,612.15,65.81,5.74,566.28
INDIACEM,2025-05-16,319.85,66.7,0.97,305.61
INDIAMART,2025-05-16,2350.2,60.68,1.21,2280.14
INDIANB,2025-05-16,594.55,63.16,1.42,573.42
IEX,2025-05-16,199.86,67.27,0.06,191.37
INDHOTEL,2025-05-16,766.35,46.7,-2.76,786.99
IOC,2025-05-16,144.72,62.47,-0.08,140.52
IOB,2025-05-16,37.86,50.47,0.34,37.38
IRCTC,2025-05-16,809.05,66.7,3.97,762.62
IRFC,2025-05-16,138.61,66.73,1.12,127.19
IREDA,2025-05-16,173.29,58.37,0.23,168.29
IGL,2025-05-16,209.2,63.31,1.51,194.9
INDUSTOWER,2025-05-16,400.45,60.53,-1.11,395.75
INDUSINDBK,2025-05-16,780.2,45.74,-6.05,813.35
NAUKRI,2025-05-16,1509.5,64.11,11.77,1419.09
INFY,2025-05-16,1589.9,58.48,18.08,1512.23
INOXWIND,2025-05-16,179.82,59.63,1.06,170.25
INTELLECT,2025-05-16,1074.55,83.73,25.28,839.98
INDIGO,2025-05-16,5562.5,60.22,6.15,5398.12
IGIL,2025-05-16,378.6,59.14,4.99,357.18
IKS,2025-05-16,1670.4,69.23,27.67,1513.11
IPCALAB,2025-05-16,1392.6,49.63,1.64,1401.59
JBCHEPHARM,2025-05-16,1647.2,58.53,9.6,1591.13
JKCEMENT,2025-05-16,5251.5,62.24,-0.92,5150.87
JBMA,2025-05-16,726.05,62.56,2.12,682.24
JKTYRE,2025-05-16,351.4,71.63,2.53,320.64
JMFINANCIL,2025-05-16,115.18,72.24,1.34,104.37
JSWENERGY,2025-05-16,503.85,56.09,3.15,484.19
JSWHL,2025-05-16,23930.0,51.78,-154.04,24441.25
JSWINFRA,2025-05-16,288.25,45.8,-0.77,295.62
JSWSTEEL,2025-05-16,1021.8,54.04,3.75,1006.43
JPPOWER,2025-05-16,15.11,58.29,0.05,14.65
J&KBANK,2025-05-16,103.89,59.66,0.79,98.9
JINDALSAW,2025-05-16,217.13,38.76,-2.22,239.94
JSL,2025-05-16,663.1,71.58,10.42,592.46
JINDALSTEL,2025-05-16,981.6,68.32,9.94,904.49
JIOFIN,2025-05-16,277.0,70.05,1.23,258.22
JUBLFOOD,2025-05-16,674.3,44.88,-4.49,698.77
JUBLINGREA,2025-05-16,691.55,53.03,0.24,685.27
JUBLPHARMA,2025-05-16,945.6,60.15,3.98,904.78
JWL,2025-05-16,422.05,72.24,4.55,369.87
JUSTDIAL,2025-05-16,951.85,59.46,-0.79,936.9
JYOTHYLAB,2025-05-16,348.5,43.49,-4.74,369.46
JYOTICNC,2025-05-16,1258.8,68.99,11.49,1141.86
KPRMILL,2025-05-16,1175.9,61.22,4.33,1092.61
KEI,2025-05-16,3463.2,68.77,42.96,3157.43
KNRCON,2025-05-16,234.93,59.18,1.55,225.03
KPITTECH,2025-05-16,1364.8,62.38,17.23,1259.93
KAJARIACER,2025-05-16,947.8,73.8,15.9,833.55
KPIL,2025-05-16,1093.8,67.69,12.82,980.08
KALYANKJIL,2025-05-16,560.4,63.7,2.99,527.11
KANSAINER,2025-05-16,263.6,59.54,-0.24,260.72
KARURVYSYA,2025-05-16,225.75,61.8,0.75,217.9
KAYNES,2025-05-16,6262.5,66.51,15.65,5893.54
KEC,2025-05-16,800.6,65.14,10.98,726.57
KFINTECH,2025-05-16,1065.8,47.32,-17.03,1142.51
KIRLOSBROS,2025-05-16,1885.8,61.5,11.53,1778.64
KIRLOSENG,2025-05-16,895.5,75.22,13.63,747.06
KOTAKBANK,2025-05-16,2108.2,47.39,-10.74,2160.51
KIMS,2025-05-16,640.3,49.77,-4.95,658.55
LTF,2025-05-16,174.87,60.75,0.18,170.13
LTTS,2025-05-16,4474.2,56.9,47.39,4289.51
LICHSGFIN,2025-05-16,621.1,60.49,0.89,603.53
LTFOODS,2025-05-16,370.85,56.96,2.61,356.91
LTIM,2025-05-16,5047.8,71.27,66.97,4626.86
LT,2025-05-16,3604.7,70.43,32.0,3384.42
LATENTVIEW,2025-05-16,422.85,62.05,1.66,407.2
LAURUSLABS,2025-05-16,603.05,48.69,-2.45,615.76
LEMONTREE,2025-05-16,140.33,53.87,-0.03,139.54
LICI,2025-05-16,857.0,66.8,5.0,808.95
LINDEINDIA,2025-05-16,7178.0,73.28,89.02,6453.75
LLOYDSME,2025-05-16,1306.6,57.64,8.19,1259.11
LUPIN,2025-05-16,2068.4,52.93,0.06,2055.41
MMTC,2025-05-16,61.77,65.04,0.59,56.56
MRF,2025-05-16,140265.0,74.54,-76.98,134540.25
LODHA,2025-05-16,1394.8,63.28,3.24,1310.78
